"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"00","M",66,"2",14944,11,"D","M",30,39101.38,96
"01","C",55,"3",72952,8,"D","M",52,17139.85,18
"00","C",64,"1",80035,9,"O","F",64,16727.71,17
"01","C",69,"4",86285,21,"O","M",74,19199.73,23
"02","U",74,"4",31762,15,"P","F",43,9932.51,6
"00","B",74,"4",21793,18,"P","F",48,25402.33,40
"99","U",60,"0",95711,20,"D","M",66,5602.97,2
"99","C",73,"3",91285,13,"O","F",74,15556.42,15
"02","C",41,"4",36178,5,"D","M",33,17828.45,20
"98","U",67,"0",61963,3,"P","M",26,3445.58,1
"99","B",36,"1",67462,25,"D","F",69,28030.01,49
"01","A",50,"0",113180,7,"D","F",65,33049.26,68
"00","A",70,"1",107525,21,"P","M",46,32186.17,65
"01","M",87,"0",117584,19,"P","M",21,37836.59,89
"02","B",48,"3",89927,14,"D","M",52,28603.36,51
"98","C",72,"0",90035,21,"O","M",69,22360.9,31
"98","C",74,"1",11407,9,"D","F",39,22696.6,32
"00","U",78,"1",97535,24,"O","M",79,9803.46,6
"02","C",88,"0",110074,17,"P","F",64,14206.81,13
"02","M",73,"2",101504,4,"D","F",70,36797.79,85
"01","U",78,"2",72869,12,"D","M",39,1292.06,0
"01","C",70,"3",87535,12,"O","F",73,24723.31,38
"98","U",66,"0",82535,20,"O","M",70,7998.09,4
"02","U",31,"1",38785,12,"O","M",40,1473.97,0
"01","U",55,"3",68785,6,"O","F",55,10929.22,7
"98","U",72,"0",43402,10,"D","M",18,7331.31,3
"98","U",76,"0",95035,24,"O","M",43,9780.66,6
"99","U",42,"3",57882,2,"D","F",61,12321.6,9
"01","U",39,"2",111669,9,"D","M",22,3387.07,1
"98","M",40,"4",64432,24,"P","F",20,36349.4,83
"00","M",32,"4",52305,2,"D","M",25,36418.97,83
"99","M",74,"4",82551,17,"P","F",21,36088.88,81
"01","C",81,"0",65309,16,"D","F",70,22687.85,32
"02","A",46,"1",104615,5,"P","F",61,35623.58,79
"99","B",136.13030937966,"2",77535,2,"O","F",53,26352.71,43
"00","C",32,"4",40035,14,"O","F",58,22581.34,32
"02","U",64,"1",4753,13,"P","M",30,8297.83,4
"98","C",69,"0",80215,12,"D","F",38,16550.26,17
"02","U",86,"0",84576,11,"P","M",44,12131.78,9
"02","C",52,"3",65035,1,"O","M",36,22862.27,33
"99","A",64,"3",80035,19,"O","F",78,34916.66,76
"01","U",33,"2",2948,14,"D","M",33,6200.93,2
"99","M",77,"3",17734,19,"P","M",19,38576.45,93
"00","C",84,"4",45891,13,"D","M",48,21628.61,29
"02","A",68,"2",14007,6,"D","F",24,32963.43,68
"98","C",90,"4",112535,19,"O","M",37,19185.12,23
"00","C",76,"1",55072,7,"D","F",25,17748.28,20
"02","U",66,"0",82535,22,"O","M",56,759.36,0
"02","M",74,"2",92535,4,"O","M",27,37461,88
"99","B",81,"4",118607,4,"D","M",38,27686.06,48
"01","U",69,"4",110869,6,"D","M",70,10746.39,7
"98","C",132.127146546263,"1",105959,18,"P","M",52,13073.76,11
"99","C",66,"3",115175,2,"D","F",71,16511.23,17
"01","A",51,"4",118898,9,"D","F",76,34852.64,76
"01","U",86,"3",23004,17,"P","F",51,8711.61,5
"99","U",34,"0",100946,18,"D","F",30,11209.14,8
"00","C",81,"3",14538,18,"D","M",71,16053.64,16
"02","C",56,"1",2607,4,"P","M",40,15295.57,15
"00","C",75,"0",39170,21,"D","F",72,12941.81,10
"98","C",51,"1",94327,17,"P","F",32,16302.44,17
"98","U",43,"0",52501,22,"P","M",41,2164.71,0
"98","U",42,"1",70083,5,"P","F",73,10909.36,7
"01","C",68,"2",56405,6,"D","F",21,14247.94,13
"00","U",60,"2",41407,5,"P","M",47,4136.78,1
"02","B",56,"3",98490,16,"D","M",27,25708.07,41
"00","C",47,"4",38343,5,"P","F",21,16697.29,17
"00","B",60,"0",75035,5,"O","M",21,27885.47,49
"98","C",82,"4",13858,9,"D","F",62,24152.53,36
"01","C",84,"0",110737,10,"D","M",74,22922.09,33
"99","C",30,"0",37535,25,"O","M",53,19167.12,23
"02","C",52,"4",65035,14,"O","F",35,22879.95,33
"02","B",35,"2",43785,7,"O","F",18,28868.95,52
"02","U",58,"0",75364,17,"D","M",23,7989.15,4
"01","C",66,"1",9026,3,"D","M",43,12489.67,10
"02","C",31,"4",38785,19,"O","F",50,17972.52,20
"02","M",60,"4",75035,5,"O","F",24,36670.3,84
"02","B",48,"2",119046,16,"D","M",39,29029.08,53
"99","M",39,"1",48785,1,"O","M",28,36490.49,83
"98","U",77,"3",51723,6,"D","M",63,2248.96,0
"01","M",75,"4",87273,19,"D","M",27,6170.67863873672,87
"99","U",71,"0",99730,12,"D","M",57,2011.69,0
"98","C",84,"1",105035,23,"O","F",40,17689.65,20
"00","C",59,"3",73785,4,"O","M",64,17902.75,20
"99","C",55,"0",68785,20,"O","M",62,21060.95,28
